src,dst,day,n_tx,sum_kzt,min_kzt,max_kzt,near_threshold,pair_split_days
100000004269433100,100000008418835100,2026-07-12,11,225000.0,8000.0,45000.0,3,9
100000004269433100,100000008418835100,2026-07-14,9,120000.0,8000.0,24000.0,3,9
100000004269433100,100000008418835100,2026-07-16,9,146000.0,5000.0,39000.0,4,9
100000004269433100,100000008418835100,2026-07-09,8,198000.0,13000.0,55000.0,0,9
100000004269433100,100000008418835100,2026-07-18,6,106000.0,8000.0,45000.0,2,9
100000004269433100,100000008418835100,2026-07-10,4,123000.0,13000.0,45000.0,0,9
100000004269433100,100000008418835100,2026-07-11,4,72000.0,13000.0,23000.0,0,9
100000004269433100,100000008418835100,2026-07-23,4,82000.0,8000.0,40000.0,2,9
100000004269433100,100000008418835100,2026-07-17,3,67000.0,13000.0,36000.0,0,9
100000007594394100,100000006274203100,2026-07-14,4,243412.0,25000.0,150000.0,0,6
100000007594394100,100000006274203100,2026-07-25,4,378000.0,45000.0,168000.0,0,6
100000007594394100,100000006274203100,2026-07-30,4,375000.0,40000.0,130000.0,0,6
100000007594394100,100000006274203100,2026-07-18,3,362000.0,88000.0,164000.0,0,6
100000007594394100,100000006274203100,2026-07-29,3,144000.0,20000.0,74000.0,0,6
100000007594394100,100000006274203100,2026-07-31,3,250000.0,46000.0,110000.0,0,6
100000008637537100,100000001732159100,2026-07-04,6,389000.0,10000.0,250000.0,3,5
100000008637537100,100000001732159100,2026-07-13,5,615000.0,20000.0,318000.0,0,5
100000008637537100,100000001732159100,2026-07-02,4,140000.0,10000.0,100000.0,2,5
100000008637537100,100000001732159100,2026-07-10,4,45000.0,10000.0,15000.0,3,5
100000008637537100,100000001732159100,2026-07-03,3,534000.0,80000.0,278000.0,0,5
100000005287097100,100000003016635100,2026-07-04,3,72000.0,5000.0,46000.0,1,4
100000005287097100,100000003016635100,2026-07-08,3,56300.0,6300.0,40000.0,2,4
100000005287097100,100000003016635100,2026-07-19,3,15900.0,5000.0,5900.0,3,4
100000005287097100,100000003016635100,2026-07-23,3,56500.0,5000.0,46000.0,2,4
100000008628231100,100000005664632100,2026-07-26,8,75500.0,6000.0,10000.0,8,3
100000008628231100,100000005664632100,2026-07-29,5,81620.0,6120.0,50000.0,4,3
100000004160650100,100000004007116100,2026-07-29,4,95544.0,5544.0,30000.0,1,3
100000004160650100,100000004007116100,2026-07-20,3,78500.0,18500.0,30000.0,0,3
100000004160650100,100000004007116100,2026-07-23,3,50850.0,7500.0,30000.0,1,3
100000008628231100,100000005664632100,2026-07-24,3,22000.0,6000.0,10000.0,3,3
100000007390016100,100000008324800100,2026-07-07,7,123000.0,10000.0,25000.0,2,2
100000008324800100,100000007390016100,2026-07-17,7,100000.0,10000.0,25000.0,5,2
100000004388983100,100000005034574100,2026-07-28,6,83000.0,8000.0,20000.0,2,2
100000004388983100,100000005034574100,2026-07-31,6,109816.0,7816.0,36000.0,2,2
100000006579678100,100000008144528100,2026-07-14,5,496400.0,79000.0,122000.0,0,2
100000004388983100,100000007283257100,2026-07-29,4,132000.0,14000.0,70000.0,0,2
100000004906181100,100000008175078100,2026-07-05,4,305000.0,25000.0,120000.0,0,2
100000006579678100,100000008144528100,2026-07-15,4,528000.0,120000.0,145000.0,0,2
100000001732159100,100000008637537100,2026-07-05,3,178080.0,15000.0,100000.0,0,2
100000001732159100,100000008637537100,2026-07-08,3,30000.0,7000.0,13000.0,2,2
100000004388983100,100000007283257100,2026-07-31,3,60000.0,10000.0,30000.0,1,2
100000004906181100,100000008175078100,2026-07-07,3,1260000.0,100000.0,600000.0,0,2
100000007390016100,100000008324800100,2026-07-10,3,92500.0,7500.0,60000.0,1,2
100000008314203100,100000008637537100,2026-07-01,3,30000.0,10000.0,10000.0,3,2
100000008314203100,100000008637537100,2026-07-15,3,40000.0,10000.0,20000.0,2,2
100000008324800100,100000007390016100,2026-07-04,3,161000.0,16000.0,85000.0,0,2
